Id; OrderId; RecipientId; ShipmentId; PreparationId; ParentId; CarrierTypeId; NameOne; NameTwo; AddressOne; AddressTwo; AddressThree; ZipCode; City; Country; PhoneNumber; GsmNumber; EmailAddress; FaxNumber; IsB2C; CreationDate; ModificationDate; RequestedShippingDate; ReturnDate; ModelRef; ParcelContent; LabelOne; LabelTwo; LabelThree; LabelFour; LabelFive; LabelSix; NetWeight; Weight; NumberOfParcels; PreparationMovementId; ShipmentMovementId; ReturnMovementId; Civility; IsPalletization; IsReturn; ReturnReason; ReturnCondition; PreparationPrice; IsCanceled; IsFlash; Tare; GroupBy; IsRemoval; PackagingPrice; PreparationTime; IsForce; IsValid; ValidatedBy; ValidationDate; Reedit; IsPriority; IsForcast; AffectationDate; PrCode; SendDate; OpeIndo; IsPosSending; DoNotCharge; RmaValid; ReturnWeight; NumberOfReturnParcels; ExitEdiFile; BillReturnTransport; Order; Shipment; OrderLines; Infos; Parent; TransportType
12730820; TE_4511632; 4511632; ; ; ; 218; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 06/03/2025 10:10:16; 06/03/2025 10:10:16; ; ; ; ; ; ; ; 06/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730819; TE_4511630; 4511630; ; ; ; 218; Fabrice Potillion; Télecommande Express; 233 rue Etienne Marcel; ; ; 93100; Montreuil; FR; ; 0173795440; fabrice.potillion@probip.com; ; True; 05/03/2025 16:22:52; 05/03/2025 16:22:52; ; ; ; ; TEST2; ; ; 06/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730818; TE_4511629; 4511629; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 16:21:55; 05/03/2025 16:21:55; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730817; TE_4511628; 4511628; ; ; ; 218; Fabrice Potillion; Télecommande Express; 233 rue Etienne Marcel; ; ; 93100; Montreuil; FR; ; 0173795440; fabrice.potillion@probip.com; ; True; 05/03/2025 15:52:46; 05/03/2025 15:52:46; ; ; ; ; test fabrice ; ; ; 06/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730816; REC_AEY4111; AEY4111; ; ; ; ; Jeanne Bourgeois; Jeanne Bourgeois; X; ; ; 69528; Montauban; RS; +33777774766; ; 95a4e92a-3453-48a6-b3e7-121c1f314b38@example.net; ; True; 05/03/2025 15:49:02; 05/03/2025 15:49:04; ; ; ; ; parcel; ; ; ; 99OZZEFQ6KE5G; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730815; REC_AEY4110; AEY4110; ; ; ; 349; Chloé Muller; Jean et Rolland; X; ; ; 90022; Argenteuil; NL; 0493195262; ; 16c28e51-1dac-49f9-8848-db7c11b7150b@example.net; ; True; 05/03/2025 15:48:56; 05/03/2025 15:48:58; ; ; ; ; parcel; ; ; ; 539275-18-18000470011; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730814; IZI_V102866; 0001; ; ; ; ; 1 Rue André Citroën; A30569 Déploiement - Kuehne+Nagel - Metz - Trémery; TEST; ; ; 57300; Trémery; FR; ; 06; @test; ; True; 05/03/2025 14:59:48; 05/03/2025 14:59:48; 03/02/2025 00:00:00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730813; TE_4511627; 4511627; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 14:45:08; 05/03/2025 14:45:08; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730812; TE_4511626; 4511626; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 14:10:42; 05/03/2025 14:10:42; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730811; TE_4511625; 4511625; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 13:41:10; 05/03/2025 13:41:10; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730810; TE_4511624; 4511624; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 13:31:18; 05/03/2025 13:31:18; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730809; TE_4511623; 4511623; ; ; ; 232; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 05/03/2025 13:28:34; 05/03/2025 13:28:34; ; ; ; ; ; ; ; 06/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730808; REC_AEY4108; AEY4108; ; ; ; ; Sacha Masson; Sacha Masson; X; ; ; 56264; Orléans; MT; 0452462287; ; 3ae6db1b-f8ee-4df4-aa60-a6d77cd169f3@example.net; ; True; 05/03/2025 09:52:25; 05/03/2025 09:52:26; ; ; ; ; parcel; ; ; ; 49416768; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730807; REC_AEY4105; AEY4105; ; ; ; ; Léo Mercier; Léo Mercier; X; ; ; 13799; Asnières-sur-Seine; AQ; +33514987183; ; 4acb928a-b836-4b9c-b293-7daf16bfdddf@example.net; ; True; 05/03/2025 09:52:16; 05/03/2025 09:52:17; ; ; ; ; parcel; ; ; ; H3PDTBHA36XSG; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730806; REC_AEY4104; AEY4104; ; ; ; 349; Lina Gaillard; Andre Jr.; X; ; ; 99029; Calais; IS; 0177146055; ; f6bc225d-b04f-4e75-b9dc-21a2626a6155@example.net; ; True; 05/03/2025 09:52:10; 05/03/2025 09:52:11; ; ; ; ; parcel; ; ; ; 539271-18-18000470007; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730805; REC_AEY4103; AEY4103; ; ; ; 349; Emilie Dubois; Renaud DVM; X; ; ; 61752; Drancy; YE; +33194042794; ; d064a13b-5b79-4a14-b336-8cc9bdaebf17@example.net; ; True; 05/03/2025 09:52:01; 05/03/2025 09:52:02; ; ; ; ; parcel; ; ; ; 539269-18-18000470005; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730804; REC_AEY4102; AEY4102; ; ; ; 349; Justine Fournier; Rousseau DVM; X; ; ; 13741; Montreuil; EC; +33464437601; ; f6b4053c-709d-48ce-9346-b0f0e45feed8@example.net; ; True; 05/03/2025 09:51:54; 05/03/2025 09:51:57; ; ; ; ; parcel; ; ; ; 539268-18-18000470004; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730803; REC_AEY4099; AEY4099; ; ; ; 220; Maëlle Hubert; Maëlle Hubert; X; X; ; 27332; Rennes; PG; +33212502604; ; b5380a93-6dba-4b5a-b911-1079d5e2ebc2@example.net; ; True; 05/03/2025 09:51:44; 05/03/2025 09:51:45; ; ; ; ; parcel; ; ; ; 01-12798-16743; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730802; REC_AEY4098; AEY4098; ; ; ; ; Léo Julien; Léo Julien; X; ; ; 24112; Colmar; JO; 0355268590; ; ebf54dfe-ec39-46ed-b35f-7d5841917352@example.net; ; True; 05/03/2025 09:51:36; 05/03/2025 09:51:37; ; ; ; ; parcel; ; ; ; EM2ZI6MYE5UK2; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
